الإجراء التنفيذي / المشروع,القطاع,المكون,الهدف,البرنامج,البرنامج الفرعي,مؤشر القياس,وحدة القياس,المستهدف الكلي,المتحقق الكلي,تاريخ بداية التنفيذ,تاريخ الإنجاز,الجهة المنفذة,موقف الإجراء,الكلفة الكلية,التمويل المخصص,المبلغ المصروف,العملة,وحدة المبلغ,مصدر التمويل,ملاحظات
هدم وبناء 6 مدارس,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,50.0,2023,2025,محافظة صلاح الدين - تربية صلاح الدين,done,,,,IQD,one,محافظة صلاح الدين,
بنا مدارس القرض الصيني 78 مدرسة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,60.0,2023,2025,محافظة صلاح الدين - تربية صلاح الدين,done,,,,IQD,one,القرض الصيني,
1- بناء مدارس جديدة 2- هدم واعادة بناء 3- التخلص من المدارس الكرفانية,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,5.0,2024,2031,ديوان محافظة ذي قار,done,,,,IQD,one,الموازنة الاستثمارية,
نقل ملكية 400 قطعة اراض,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,6.0,2024,2031,دوائر البلدية وعقارات الدولة والزراعة - تربية ذي قار,delayed,,,,IQD,one,لا تحتاج,
بناء 32 مدرسة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2026,تربية الانبار,done,,,,IQD,one,القرض الصيني / مشروع الوزارة / صندوق الاعمار,
انشاء 7 اجنحة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2025,2026,,done,,,,IQD,one,,
تم ادراج بناء (67) مدرسة ضمن تخصيصات محافظة ميسان لسنة 2023 على ان يتم التنفيذ لسنة 2024,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2026,المحافظة قسم إدارة المشاريع - تربية ميسان,done,,,,IQD,one,محافظة ميسان +الأمانة العامة لمجلس الوزاء,
ادراج خطة لبناء 23 جناح إضافي ضمن تخصيصات المحافظة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2025,الجهد الهندسي مكتب رئيس الوزاء - تربية ميسان,done,,,,IQD,one,الجهد الهندسي مكتب رئيس الوزاء,
بناء اجنحة إضافية عدد 7 من قبل فريق الجهد الهندسي التابع لمكتب رئيس الوزارء,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2024,الجهد الهندسي مكتب رئيس الوزاء - تربية ميسان,done,,,,IQD,one,الجهد الهندسي مكتب رئيس الوزاء,
انشاء مدرسة 24 صف ابتدائي في الكوفة على القطعة المرقمة (3/14127) - تاريخ المباشرة بالمشروع 2023/12/21,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,4.0,2024,2025,محافظة النجف/هيئة الاعمار - تربية نجف,done,1532630000.0,1532630000.0,,IQD,one,تنمية الاقاليم,نسبة الإنجاز الحالية (42%) وقد اسأنف العمل بعد التوقف
اضافة وهدم واعادة بناء صحيات رشحت للوزارة بواقع (5) جناح تنفيذها مناقصات و (10) تنفيذ امانه تم تشكيل لجنة الاشراف بالامر الاداري 23625 في 29/4/2024 وحسب كتاب شعبة الابنية المدرسية 778/3/3/37 في 2024/7/18,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,13.0,2024,2025,شعبة الابنية + شعبة الاملاك والاراضي - تربية الكرخ الاولى,delayed,,,,IQD,one,تمويل دولي / منظمات مجتمع مدني,
المدارس المشيدة ضمن القرض الصيني بواقع (27) مدرسة تم اصدار الاوامر الادارية في تخصيص البناية والاشغال للمدارس بواقع (5) مدرسة والعمل مستمر (مرفق نسخة من الاوامر الادارية للمدارس),ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2024,شعبة الابنية + شعبة الاملاك والاراضي - تربية الكرخ الاولى,done,54000000000.0,,,IQD,one,وزارة الاسكان/ الاتفاقية الصينية,
بناء كشك للحوانيت المدرسية مبالغها من المديرية العامة لتربية بغداد الكرخ الاولى,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2025,شعبة الابنية المدرسية - تربية الكرخ الاولى,done,900000000.0,450000000.0,450000000.0,IQD,one,مديرية تربية الكرخ الاولى/ قسم الشؤون المالية شعبة الحوانيت المدرسية,
